row;outline_level;thema;original_text;page_id;slug
2217;3;ExtraFieldEdit-Standard heute;Eingabefeld für: Standard heute.;;
2234;3;ExtraFieldEdit-Fremdschlüsseltabelle;Eingabefeld für: Fremdschlüsseltabelle.;;
2249;3;XXTableEdit-Daten;Data;;
2250;3;XXTableEdit-Anhänge;Attachments;;
2251;3;XXTableEdit-Finanzwesen;Finance;;
2254;3;FinancePostingEdit-Belegdatum;Datum des Belegs.;;
2267;3;FinancePostingEdit-FinancePostingEdit_Position;FinancePostingEdit_Position;;
2268;3;FinancePostingEdit-Pos;Laufende Positionsnummer.;;
2269;3;FinancePostingEdit-K/L;Eingabefeld für: K/L.;;
2270;3;FinancePostingEdit-Konto;Zugeordnetes Sachkonto.;;
2271;3;FinancePostingEdit-Name;Bezeichnung des Datensatzes.;;
2272;3;FinancePostingEdit-Bruttobetrag;Geldbetrag.;;
2273;3;FinancePostingEdit-Steuerschlüssel;Schlüssel zur Steuerermittlung.;;
2274;3;FinancePostingEdit-Soll;Sollbetrag der Buchung.;;
2275;3;FinancePostingEdit-Haben;Habenbetrag der Buchung.;;
2276;3;FinancePostingEdit-Soll (FW);Eingabefeld für: Soll (FW).;;
2277;3;FinancePostingEdit-Haben (FW);Eingabefeld für: Haben (FW).;;
2278;3;FinancePostingEdit-Steuer %;Steuerrelevante Angabe.;;
2279;3;FinancePostingEdit-Steuerbetrag;Geldbetrag.;;
2280;3;FinancePostingEdit-Kostenstelle;Zugeordnete Kostenstelle.;;
2281;3;FinancePostingEdit-Kostenträger;Zugeordneter Kostenträger.;;
2282;3;FinancePostingEdit-UST-ID;Umsatzsteuer-Identifikationsnummer.;;
2283;3;FinancePostingEdit-Projekt;Zugeordnetes Projekt.;;
2284;3;FinancePostingEdit-Gegenkonto;Buchhalterisches Gegenkonto.;;
2285;3;FinancePostingEdit-Quelle Offener Posten;Eingabefeld für: Quelle Offener Posten.;;
2306;3;FinanceAccountInternalReconciliationEdit-FinanceAccountInternalReconciliationEdit_Position;FinanceAccountInternalReconciliationEdit_Position;;
2310;3;FinanceAccountInternalReconciliationEdit-Position;Laufende Position innerhalb der Liste.;;
2311;3;FinanceAccountInternalReconciliationEdit-Buchungssatz;Eingabefeld für: Buchungssatz.;;
2312;3;FinanceAccountInternalReconciliationEdit-Belegdatum;Datum des Belegs.;;
2313;3;FinanceAccountInternalReconciliationEdit-Betreff;Kurze Betreffzeile zum Inhalt.;;
2314;3;FinanceAccountInternalReconciliationEdit-Soll;Sollbetrag der Buchung.;;
2315;3;FinanceAccountInternalReconciliationEdit-Haben;Habenbetrag der Buchung.;;
2316;3;FinanceAccountInternalReconciliationEdit-Offener Betrag;Noch nicht beglichener Betrag.;;
2317;3;FinanceAccountInternalReconciliationEdit-Abstimmbetrag;Geldbetrag.;;
2370;3;FinanceClosingPostingEdit-Belegdatum;Datum des Belegs.;;
2380;3;FinanceClosingPostingEdit-Abschlusskonto;Zugeordnetes Konto.;;
2381;3;FinanceClosingPostingEdit-Vortragskonto;Zugeordnetes Konto.;;
2382;3;FinanceClosingPostingEdit-FinanceClosingPostingEdit_Position;FinanceClosingPostingEdit_Position;;
2383;3;FinanceClosingPostingEdit-Konto;Zugeordnetes Sachkonto.;;
2384;3;FinanceClosingPostingEdit-Name;Bezeichnung des Datensatzes.;;
2385;3;FinanceClosingPostingEdit-Betrag;Geldbetrag.;;
2418;3;FinanceDunningEdit-Anhänge;Attachments;;
2419;3;FinanceDunningEdit-Archiv;Archive;;
2437;3;FinanceDunningWizard-Standort;Zugeordneter Standort.;;
2479;3;FinanceFixedAssetDepreciationTypeEdit-Details;Details;;
2482;3;FinanceFixedAssetDepreciationWizard-Anlagennummer von;Eindeutige Nummer.;;
2483;3;FinanceFixedAssetDepreciationWizard-Anlagennummer bis;Eindeutige Nummer.;;
2484;3;FinanceFixedAssetDepreciationWizard-Standort;Zugeordneter Standort.;;
2485;3;FinanceFixedAssetDepreciationWizard-Bis zum Buchungszeitraum;Eingabefeld für: Bis zum Buchungszeitraum.;;
2514;3;FinanceFixedAssetEdit-Details;Details;;
2517;3;FinanceFixedAssetEdit-Anhänge;Attachments;;
2518;3;FinanceFixedAssetEdit-DepreciationPreview;DepreciationPreview;;
2543;3;FinanceOpeningBalanceEdit-Belegdatum;Datum des Belegs.;;
2551;3;FinanceOpeningBalanceEdit-Gegenkonto;Buchhalterisches Gegenkonto.;;
2552;3;FinanceOpeningBalanceEdit-FinanceOpeningBalanceEdit_Position;FinanceOpeningBalanceEdit_Position;;
2553;3;FinanceOpeningBalanceEdit-Konto;Zugeordnetes Sachkonto.;;
2554;3;FinanceOpeningBalanceEdit-Name;Bezeichnung des Datensatzes.;;
2555;3;FinanceOpeningBalanceEdit-Nummer;Eindeutige Nummer des Datensatzes.;;
2592;3;FinanceOpenItemInternalReconciliationEdit-FinanceOpenItemInternalReconciliationEdit_Position;FinanceOpenItemInternalReconciliationEdit_Position;;
2598;3;FinanceOpenItemInternalReconciliationEdit-Position;Laufende Position innerhalb der Liste.;;
2599;3;FinanceOpenItemInternalReconciliationEdit-OP-Typ;Art bzw. Typ.;;
2600;3;FinanceOpenItemInternalReconciliationEdit-Belegdatum;Datum des Belegs.;;
